captured_on,window_days,path,title,views,unique_visitors
2026-09-17,14,/merce-fra/PELCA,Overview,50,20
2026-09-17,14,/merce-fra/PELCA/tree/Release_PELCA_v1.4,/tree/Release_PELCA_v1.4,5,4
2026-09-17,14,/merce-fra/PELCA/tree/Release_PELCA_v1.4/Images/PELCADeviceDesigner,/tree/Release_PELCA_v1.4/Images/PELCADeviceDesigner,5,4
2026-09-17,14,/merce-fra/PELCA/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure1.svg,/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure1.svg,4,4
2026-09-17,14,/merce-fra/PELCA/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure0.svg,/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure0.svg,4,3
2026-09-17,14,/merce-fra/PELCA/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure14.svg,/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure14.svg,4,3
2026-09-17,14,/merce-fra/PELCA/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure15.svg,/blob/Release_PELCA_v1.4/Images/PELCADeviceDesigner/Figure15.svg,4,3
2026-09-17,14,/merce-fra/PELCA/blob/Release_PELCA_v1.4/Input example/PELCADeviceDesigner/PELCADeviceDesigner_Instructions.md,/blob/Release_PELCA_v1.4/Input example/PELCADeviceDesigner/PELCADeviceDesigner_Instructions.md,4,3
2026-09-17,14,/merce-fra/PELCA/releases,/releases,4,2
2026-09-17,14,/merce-fra/PELCA/tree/Release_PELCA_v1.4/Input example,/tree/Release_PELCA_v1.4/Input example,4,2
