country,clicks,impressions,ctr_pct,position
fra,92,335,27.4627,3.245
jpn,6,58,10.3448,3.293
deu,4,48,8.3333,3.542
esp,3,107,2.8037,4.14
che,3,14,21.4286,3.0
can,2,33,6.0606,2.697
usa,1,216,0.463,5.185
bel,1,40,2.5,4.475
tur,1,20,5.0,3.05
aut,1,8,12.5,4.0
pol,1,8,12.5,4.5
ltu,1,3,33.3333,3.667
cyp,1,1,100.0,1.0
bra,0,99,0.0,8.091
mex,0,74,0.0,3.649
moz,0,62,0.0,3.677
ita,0,51,0.0,2.824
gbr,0,38,0.0,3.474
arg,0,37,0.0,4.892
chl,0,30,0.0,4.433
ind,0,24,0.0,6.708
per,0,23,0.0,4.0
ury,0,23,0.0,4.609
slv,0,22,0.0,5.273
hnd,0,19,0.0,5.053
idn,0,19,0.0,3.0
ven,0,16,0.0,5.5
prt,0,15,0.0,4.8
nld,0,14,0.0,3.357
col,0,13,0.0,6.077
phl,0,12,0.0,2.333
aus,0,10,0.0,3.7
mys,0,9,0.0,3.0
rou,0,9,0.0,5.0
svn,0,9,0.0,4.0
cze,0,8,0.0,6.75
dom,0,8,0.0,5.75
irn,0,8,0.0,4.375
nic,0,8,0.0,4.25
rus,0,8,0.0,21.0
nga,0,7,0.0,7.429
cri,0,6,0.0,3.667
ecu,0,6,0.0,5.0
tha,0,6,0.0,12.0
dnk,0,5,0.0,5.4
fin,0,5,0.0,4.2
gtm,0,5,0.0,3.6
hkg,0,5,0.0,4.6
ken,0,5,0.0,4.2
pak,0,5,0.0,14.0
sgp,0,5,0.0,8.0
swe,0,5,0.0,5.8
ukr,0,5,0.0,6.8
are,0,4,0.0,1.25
hun,0,4,0.0,2.75
khm,0,4,0.0,1.0
kor,0,4,0.0,4.5
mar,0,4,0.0,18.0
nzl,0,4,0.0,3.5
pri,0,4,0.0,2.75
twn,0,4,0.0,3.5
uga,0,4,0.0,4.5
vnm,0,4,0.0,18.25
zaf,0,4,0.0,1.75
abw,0,3,0.0,2.667
cod,0,3,0.0,2.333
egy,0,3,0.0,17.0
hrv,0,3,0.0,2.333
srb,0,3,0.0,6.667
svk,0,3,0.0,4.333
and,0,2,0.0,1.5
arm,0,2,0.0,4.5
bgr,0,2,0.0,3.0
cub,0,2,0.0,6.0
gha,0,2,0.0,2.5
grc,0,2,0.0,5.5
isr,0,2,0.0,1.0
jam,0,2,0.0,6.0
lux,0,2,0.0,1.0
uzb,0,2,0.0,3.0
ago,0,1,0.0,4.0
bgd,0,1,0.0,3.0
bol,0,1,0.0,8.0
cmr,0,1,0.0,6.0
est,0,1,0.0,2.0
guy,0,1,0.0,6.0
jor,0,1,0.0,2.0
kaz,0,1,0.0,4.0
kwt,0,1,0.0,1.0
mng,0,1,0.0,3.0
mtq,0,1,0.0,4.0
nor,0,1,0.0,1.0
pry,0,1,0.0,9.0
qat,0,1,0.0,2.0
sau,0,1,0.0,5.0
sxm,0,1,0.0,2.0
tun,0,1,0.0,3.0
zzz,0,1,0.0,3.0
